Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-09
Horizontal Delay,4e-10
Sample Interval,4e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.08
,
,
,
Label,
TIME,CH1
1.748e-07,-0.00400781
1.752e-07,-0.004
1.756e-07,-0.004
1.760e-07,-0.00400781
1.764e-07,-7.8125e-06
1.768e-07,0
1.772e-07,0.004
1.776e-07,0.00199219
1.780e-07,-0.002
1.784e-07,-0.00400781
1.788e-07,-0.00600781
1.792e-07,-0.006
1.796e-07,-0.004
1.800e-07,-0.004
1.804e-07,-0.00400781
1.808e-07,-0.004
1.812e-07,-0.00200781
1.816e-07,-0.002
1.820e-07,-7.8125e-06
1.824e-07,-0.002
1.828e-07,-0.002
1.832e-07,-0.00400781
1.836e-07,-0.004
1.840e-07,-0.00400781
1.844e-07,-0.00400781
1.848e-07,-0.00400781
1.852e-07,-0.004
1.856e-07,-0.00400781
1.860e-07,-0.00200781
1.864e-07,-0.00200781
1.868e-07,-0.00200781
1.872e-07,-0.002
1.876e-07,0
1.880e-07,-7.8125e-06
1.884e-07,-7.8125e-06
1.888e-07,-0.002
1.892e-07,-0.00400781
1.896e-07,-0.004
1.900e-07,-0.00400781
1.904e-07,-0.00400781
1.908e-07,-0.004
1.912e-07,-0.00400781
1.916e-07,-0.004
1.920e-07,-7.8125e-06
1.924e-07,-7.8125e-06
1.928e-07,-0.00200781
1.932e-07,-0.00200781
1.936e-07,-0.00200781
1.940e-07,-0.004
1.944e-07,-0.004
1.948e-07,-0.00600781
1.952e-07,-0.00400781
1.956e-07,-0.004
1.960e-07,-0.002
1.964e-07,-0.002
1.968e-07,-0.004
1.972e-07,0
1.976e-07,-0.00200781
1.980e-07,-0.002
1.984e-07,-0.00200781
1.988e-07,-0.004
1.992e-07,-0.004
1.996e-07,-0.00400781
2.000e-07,-0.004

